SERVICE REQUEST TYPE,SERVICE REQUEST NUMBER,DATE SERVICE REQUEST WAS RECEIVED,"LOCATION OF BUILDING ON THE LOT (IF GARAGE, CHANGE TYPE CODE TO BGD).",IS THE BUILDING DANGEROUS OR HAZARDOUS?,IS BUILDING OPEN OR BOARDED?,"IF THE BUILDING IS OPEN, WHERE IS THE ENTRY POINT?",IS THE BUILDING CURRENTLY VACANT OR OCCUPIED?,IS THE BUILDING VACANT DUE TO FIRE?,"ANY PEOPLE USING PROPERTY? (HOMELESS, CHILDEN, GANGS)",ADDRESS STREET NUMBER,ADDRESS STREET DIRECTION,ADDRESS STREET NAME,ADDRESS STREET SUFFIX,ZIP CODE,X COORDINATE,Y COORDINATE,Ward,Police District,Community Area,LATITUDE,LONGITUDE,Location
Vacant/Abandoned Building,17-01985684,04/06/2017,Rear,,Open,REAR,Vacant,false,false,8147,S,DREXEL,AVE,60619,1183650.97216854,1851166.07970146,8,6,44,41.746784819848145,-87.60262849678269,"(41.746784819848, -87.602628496783)"
Vacant/Abandoned Building,17-01936619,04/04/2017,Rear,,Open,,Vacant,false,false,8112,S,MAY,ST,60620,1170063.35251246,1851006.97749826,21,6,71,41.74665406968148,-87.65242142853317,"(41.746654069681, -87.652421428533)"
Vacant/Abandoned Building,17-03233394,05/20/2017,Front,,Open,WINDOW OPEN,Vacant,false,false,1522,N,ASHLAND,AVE,60622,1165444.31003262,1910341.30997654,2,14,24,41.90957280115771,-87.66766212458103,"(41.909572801158, -87.667662124581)"
Vacant/Abandoned Building,17-04449100,07/06/2017,Front,,Open,"FRONT/REAR DOORS, WINDOWS",Vacant,false,true,1543,S,KOSTNER,AVE,60623,1147305.0118818,1892056.19380953,24,10,29,41.85976333255136,-87.73476705169868,"(41.859763332551, -87.734767051699)"
Vacant/Abandoned Building,17-00629618,02/03/2017,Front,,Open,FRONT,Vacant,false,false,6813,S,PARNELL,AVE,60621,1173745.33377441,1859730.74231173,6,7,68,41.7705123984104,-87.63867165214029,"(41.77051239841, -87.63867165214)"
Vacant/Abandoned Building,17-01578870,03/22/2017,Front,,Open,BACK REAR DOOR. AND GARAGE DOOR MISSING IN THE REAR.. URGENT..,Vacant,false,true,6832,S,RIDGELAND,AVE,60649,1189043.95747107,1860017.33481269,5,3,43,41.77094607046822,-87.58258447245481,"(41.770946070468, -87.582584472455)"
Vacant/Abandoned Building,17-02755756,05/04/2017,Front,,Boarded,,Vacant,false,false,10038,S,ST LAWRENCE,AVE,60628,1182014.06390074,1838419.1201279,9,5,49,41.71184364393936,-87.60901952289676,"(41.711843643939, -87.609019522897)"
Vacant/Abandoned Building,17-04438808,07/05/2017,,,,,,,,8726,S,SAGINAW,AVE,60617,1195392.21997806,1847629.32441931,7,4,46,41.736798014171775,-87.55972287257678,"(41.736798014172, -87.559722872577)"
Vacant/Abandoned Building,17-03866354,06/11/2017,Front,,Open,EXCESSIVE AMOUNTS OF GARBAGE IN THE FRONT,Vacant,false,true,11415,S,CALUMET,AVE,60628,1180617.41107985,1829273.3339182,9,5,49,41.686778489459165,-87.61441398041359,"(41.686778489459, -87.614413980414)"
Vacant/Abandoned Building,17-01002152,02/22/2017,,,,,,,,3453,N,HOYNE,AVE,60618,1161743.66448101,1922918.30152459,32,19,5,41.9441628906758,-87.68090513648534,"(41.944162890676, -87.680905136485)"
Vacant/Abandoned Building,17-00054086,01/03/2017,Front,,Boarded,,Vacant,false,false,8527,S,RACINE,AVE,60620,1169810.55289061,1848244.99190207,21,6,71,41.73908028595897,-87.65342771129288,"(41.739080285959, -87.653427711293)"
Vacant/Abandoned Building,17-04110714,06/21/2017,Front,,Open,,Vacant,false,true,7253,S,COLES,AVE,60649,1194480.74166707,1857617.14581669,7,3,43,41.76422782303962,-87.56273444623966,"(41.76422782304, -87.56273444624)"
Vacant/Abandoned Building,17-00542480,01/30/2017,Front,,Open,ALL OVER,Vacant,false,false,10741,S,COTTAGE GROVE,AVE,60628,1182230.18456678,1833853.56681035,9,5,50,41.69931018365381,-87.60836879779481,"(41.699310183654, -87.608368797795)"
Vacant/Abandoned Building,17-01554502,03/21/2017,,,,,,,,12755,S,EMERALD,AVE,60628,1173651.62826949,1820192.93127712,34,5,53,41.6620170755436,-87.64018193164107,"(41.662017075544, -87.640181931641)"
Vacant/Abandoned Building,17-00726033,02/09/2017,Front,,Open,REAR,Vacant,false,false,1215,W,111TH,ST,60643,1170205.07317041,1831176.97740926,34,22,75,41.69223452557153,-87.65247677241265,"(41.692234525572, -87.652476772413)"
Vacant/Abandoned Building,17-02909820,05/09/2017,Front,,Open,FRONT DOOR IS OPEN,Vacant,false,false,942,W,116TH,PL,60643,1172030.97999798,1827593.18998665,34,5,53,41.68236023920491,-87.64589655382937,"(41.682360239205, -87.645896553829)"
Vacant/Abandoned Building,17-01795723,03/30/2017,Front,,Boarded,,Vacant,false,false,4450,W,WEST END,AVE,60624,1146601.68019892,1900601.6649222,28,11,26,41.88322656684219,-87.73713093601162,"(41.883226566842, -87.737130936012)"
Vacant/Abandoned Building,17-00349488,01/19/2017,Front,,Open,,Vacant,false,true,1721,E,85TH,ST,60617,1189200.01587978,1848961.11199414,8,4,45,41.74060307016144,-87.58236619671405,"(41.740603070161, -87.582366196714)"
Vacant/Abandoned Building,17-00046576,01/03/2017,Front,,Boarded,,Vacant,false,false,9312,S,KENWOOD,AVE,60619,1186736.38002676,1843505.51387212,8,4,47,41.72569097261967,-87.59156485690048,"(41.72569097262, -87.5915648569)"
Vacant/Abandoned Building,17-01997516,04/06/2017,Front,,Open,ALL AROUND,Vacant,false,false,10431,S,VERNON,AVE,60628,1181089.33590546,1835894.08717898,9,5,49,41.70493592027283,-87.61248350493493,"(41.704935920273, -87.612483504935)"
